Source Port,Target Port,Traveltime
Yichang,Wuhan,71.9133948902735
Wuhan,Chongqing,83.58669269073894
Chongqing,Wuhan,143.34196631884495
Jiayu,Honghu,4.87012987012987
Honghu,Jiayu,2.1676300578034686
Jiayu,Chenglingji,10.930735930735931
Chenglingji,Jiayu,4.865125240847785
Jiayu,Changsha,22.057903560793736
Changsha,Jiayu,29.865125240847785
Jiayu,Jingzhou,30.005880439406454
Jingzhou,Jiayu,47.72226809799064
Jiayu,Yichang,38.05019643169933
Yichang,Jiayu,65.79586117158371
Jiayu,Chongqing,69.84210394615019
Chongqing,Jiayu,137.22443260015515
Honghu,Chenglingji,6.0606060606060606
Chenglingji,Honghu,2.697495183044316
Honghu,Changsha,17.187773690663867
Changsha,Honghu,27.697495183044317
Honghu,Jingzhou,25.13575056927658
Jingzhou,Honghu,45.55463804018717
Honghu,Yichang,33.180066561569454
Yichang,Honghu,63.628231113780245
Honghu,Chongqing,64.97197407602033
Chongqing,Honghu,135.05680254235168
Chenglingji,Changsha,11.127167630057805
Changsha,Chenglingji,25.0
Chenglingji,Jingzhou,19.075144508670522
Jingzhou,Chenglingji,42.857142857142854
Chenglingji,Yichang,27.119460500963392
Yichang,Chenglingji,60.93073593073593
Chenglingji,Chongqing,58.91136801541426
Chongqing,Chenglingji,132.35930735930737
Changsha,Jingzhou,44.07514450867052
Jingzhou,Changsha,53.98431048720066
Changsha,Yichang,52.11946050096339
Yichang,Changsha,72.05790356079373
Changsha,Chongqing,83.91136801541427
Chongqing,Changsha,143.48647498936518
Jingzhou,Yichang,8.044315992292871
Yichang,Jingzhou,18.073593073593074
Jingzhou,Chongqing,39.83622350674374
Chongqing,Jingzhou,89.5021645021645
Yichang,Chongqing,31.79190751445087
Chongqing,Yichang,71.42857142857143
